,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
CE1,0,2.18,0.22,0
CE4,0.18,1.62,0.93,1.71
CE5,0,0,0.34,0
CE7,0,0,0.15,0
CE8,0,0.04,0,0
CE9,0.22,0.01,0.04,0
CE10,0.04,0.02,0.07,0
CE11,6.67,1.59,0.37,0.17
CE12,0,0.04,0.04,0
CE14,0,0,0.11,0
CE15,0,0.06,0,0
GH1,0,0.12,0.45,0
GH2,0.22,0.81,1.6,0
GH3,1.58,2.93,1.56,0
GH4,0.22,0.2,0.48,0
GH5,0,0.58,0.07,0
GH6,1.49,0.31,1.08,0.94
GH9,0,0.11,0,0
GH10,0,0.06,0,0
GH11,0,0.06,0,0
GH13,1.23,24.38,6.48,5.02
GH15,0,0.22,1.9,1.1
GH16,0,0.01,0,0
GH17,17.08,0,0.04,0
GH18,0.44,0.06,4.51,18.38
GH19,0,0.02,0,0
GH20,0.22,0.09,0.04,0
GH23,4.83,7.07,3.65,2.01
GH24,0,0,0,0
GH26,0,0.01,0.22,0.69
GH27,0,0,0.11,0
GH28,0,0.09,0.19,0
GH29,0,0.49,0.97,0
GH30,0,0.11,0,0
GH31,0,0.33,0.52,0.03
GH32,0,0.11,0,0
GH33,0,0.06,0.19,0
GH36,0,0,0.04,0
GH37,0,1.07,0,0
GH38,0.04,0.04,0.71,0
GH39,0,0.18,0,0
GH42,0,0.12,0,0
GH43,0.83,1.1,0.19,0
GH51,0,0.43,0.63,0
GH53,0,0.06,0,0
GH55,0,0,0.19,0
GH57,6.01,0.05,4.28,0.52
GH62,0,0.06,0,0
GH63,0,0,0.11,0
GH65,0,0.05,0.37,0.5
GH67,0,0,0.04,0
GH68,0,0,0.15,0
GH73,0.26,0.96,0.19,0.11
GH74,0,0.09,0.04,0.03
GH76,0,0.02,0,0
GH77,0.22,1.42,0.48,0.99
GH78,0,0.47,0.15,0
GH84,0,0,0,0
GH88,0,0.07,0,0.17
GH92,0,0.92,0.37,0
GH94,0,2.66,2.09,7.52
GH95,0,0.12,0,0
GH97,0,0.58,1.08,0
GH102,0.66,0,0.19,0.28
GH103,0.22,3.37,0.26,0.08
GH105,0,0.07,0.22,0
GH106,0,0.09,0,0
GH108,0,0,0,0.06
GH109,0.22,0.54,0.75,0
GH117,0,0.01,0,0
GT1,0,0.09,0.41,0.66
GT2,21.91,6.22,13.86,9.65
GT3,0.04,0,0.26,1.82
GT4,1.05,9.6,24.93,15.21
GT5,0.09,0.97,2.91,2.26
GT8,0,0,0.04,0
GT9,5,3.22,0.22,0.5
GT19,3.82,1.64,0.93,0.08
GT20,0.04,1.45,1.12,0.58
GT26,0,0.16,0.3,0.66
GT28,1.1,1.47,0.71,1.02
GT30,0.83,1.26,0,0.08
GT32,0.44,0,0,0
GT35,6.94,4.02,6.37,11.71
GT51,8.87,7.16,3.46,6.28
GT66,0.13,0.04,2.31,0.77
GT81,0,0.38,0.67,0.03
GT83,0.66,0.07,0,0
GT84,0,3.02,1.94,8.19
PL9,0,0,0,0.06
PL11,0,0,0.04,0
LDA1xp,0,0,0.04,0
LDA2xp,0,0,0,0.03
LDA6xp,0,0.01,0,0
LO1xp,0,0,0,0
LO2xp,6.19,0.82,0.45,0.11
LO3xp,0,0.05,0.19,0
