,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
CE1,0,2.04,0.23,0
CE4,0,0,0.15,0
CE5,8.01,2.13,0.54,0
CE9,0,0,0.08,0
CE10,0,0,0.15,0
CE11,0,0.02,0,0
CE12,0.08,1.86,0.38,2.33
CE14,0,0,0.31,0
CE15,0,0,0.08,0
GH1,0,0.05,0.46,0
GH2,0,0.25,0.84,0
GH3,0.57,3.16,0.61,0
GH4,0.08,0.14,0.38,0
GH5,0,0.78,0.15,0
GH6,2.27,0.37,1.91,1.01
GH11,0,0.08,0,0
GH13,1.7,26.02,6.89,5.33
GH15,0,0.08,2.45,1.06
GH16,0,0.02,0,0
GH17,25.57,0,0.08,0
GH18,0.81,0.08,8.57,27.16
GH20,0,0.12,0,0
GH23,2.83,6.98,3.06,1.41
GH24,0,0,0,0
GH26,0,0.02,0.15,0.57
GH29,0,0.39,0.77,0
GH30,0,0.14,0,0
GH31,0,0.42,0.23,0.04
GH32,0,0.08,0,0
GH33,0,0.05,0.31,0
GH36,0,0,0,0
GH37,0,0.86,0,0
GH38,0.08,0.02,1.07,0
GH39,0,0.24,0,0
GH42,0,0.07,0,0
GH43,1.38,1.1,0.38,0
GH51,0,0.49,0.77,0
GH53,0,0.02,0,0
GH55,0,0,0.08,0
GH57,0.57,0,4.51,0.4
GH65,0,0.02,0.15,0.22
GH68,0,0,0.31,0
GH73,0.16,0.68,0.31,0
GH74,0,0.05,0,0
GH76,0,0.03,0,0
GH77,0.4,1.47,0.08,0.62
GH78,0,0.24,0.08,0
GH84,0,0,0,0
GH88,0,0.03,0,0
GH92,0,1.03,0.69,0
GH94,0,2.89,2.52,7.66
GH95,0,0.05,0,0
GH97,0,0.56,0.54,0
GH102,0.4,0,0.38,0.44
GH103,0.4,3.35,0.38,0.13
GH105,0,0,0.31,0
GH106,0,0.07,0,0
GH108,0,0,0,0
GH109,0.4,0.68,0.69,0
GT1,0,0.08,0.15,0.62
GT2,29.29,4.93,12.47,6.56
GT3,0.08,0,0.23,1.85
GT4,0.49,7.98,24.79,13.86
GT5,0,0.73,2.91,0.92
GT9,3.8,4.07,0.08,0.4
GT19,2.91,1.86,0.84,0
GT20,0.08,1.17,0.84,0.04
GT26,0,0.19,0,0.79
GT28,0,1.96,0.08,0.7
GT30,0.4,1.52,0,0
GT35,4.13,4.12,6.66,9.95
GT51,8.17,8.16,3.21,6.29
GT66,0.08,0.05,2.07,0.88
GT81,0,0.34,0.84,0.04
GT83,1.05,0.08,0,0
GT84,0,3.3,2.37,8.63
PL9,0,0,0,0.04
LDA1xp,0,0,0.08,0
LDA2xp,0,0,0,0.04
LDA6xp,0,0.02,0,0
LO1xp,0,0,0,0
LO2xp,3.8,0.24,0.38,0
