,CG13u_454,PWCG7u_454,CG19u_454,CG8u_454
CE1,0,2.02,0.38,0.03
CE4,1.06,1.69,1.12,2.23
CE5,0,0,0.18,0
CE7,0,0,0.08,0
CE8,0,0.19,0,0
CE9,0.12,0.05,0.3,0.08
CE10,0.05,0.26,0.08,0.22
CE11,4.59,1.33,0.26,0.47
CE12,0,0.08,0.02,0
CE14,0.87,0,0.07,0.16
CE15,0,0.04,0.08,0
GH1,0,0.41,0.43,0.03
GH2,0.12,1.44,1.69,0.11
GH3,2.83,2.54,1.67,0.16
GH4,0.12,0.35,0.69,0.02
GH5,0,1.2,0.31,0.31
GH6,0.85,0.26,0.48,0.61
GH9,0,0.15,0.05,0
GH10,0,0.04,0,0
GH11,0,0.04,0,0
GH13,1.11,21.23,4.94,5.42
GH15,0,0.36,2.4,0.83
GH16,0,0.06,0.12,0.39
GH17,10.05,0,0.05,0
GH18,0.26,0.18,2.66,11.51
GH19,0,0.13,0,0
GH20,0.12,0.13,0.33,0
GH23,7.42,6.55,3.41,3.37
GH24,0,0,0.08,0
GH26,0,0.02,0.23,0.95
GH27,0,0.04,0.15,0
GH28,0,0.14,0.08,0
GH29,0,0.57,0.46,0
GH30,0,0.13,0,0
GH31,0,0.31,0.74,0.03
GH32,0,0.08,0.03,0
GH33,0,0.04,0.18,0
GH35,0,0,0.02,0
GH36,0,0.03,0.25,0
GH37,0,1.01,0,0
GH38,0.02,0.19,1.01,0.08
GH39,0,0.21,0,0.05
GH42,0,0.13,0,0
GH43,0.45,1.3,0.1,0
GH47,0,0.06,0.02,0
GH51,0,0.31,0.33,0
GH53,0,0.04,0,0
GH55,0,0,0.1,0.06
GH57,11.04,0.2,3.74,1.28
GH62,0,0.04,0,0
GH63,0,0,0.08,0
GH65,0,0.13,1.16,0.37
GH67,0,0,0.07,0
GH68,0,0,0.17,0
GH73,0.89,1.37,0.17,0.3
GH74,0.07,0.07,0.07,0.06
GH76,0,0.02,0,0
GH77,0.12,2.06,0.45,1.01
GH78,0,0.72,0.43,0
GH84,0,0,0,0
GH88,0,0.12,0,0.12
GH92,0,0.91,0.17,0
GH93,0,0.04,0,0.03
GH94,0,2.48,1.85,5.83
GH95,0,0.12,0.23,0
GH97,0,0.56,0.5,0
GH102,3.04,0,0.2,0.47
GH103,0.12,2.7,0.17,0.26
GH105,0,0.06,0.1,0
GH106,0,0.11,0.03,0
GH108,0,0.01,0,0.03
GH109,0.12,0.4,0.45,0
GH113,0,0,0.02,0
GH115,0,0.03,0,0
GH116,0,0,0.12,0
GH117,0,0.01,0,0
GT1,0,0.35,0.28,0.42
GT2,15.19,7.02,15.47,13.35
GT3,0.02,0.13,0.26,1.68
GT4,2.92,11.22,23.47,15.33
GT5,1.67,0.85,2.05,1.76
GT8,0,0,0.02,0
GT9,4.71,2.38,0.25,1.56
GT11,0,0,0.08,0
GT19,3.11,1.28,0.41,0.76
GT20,0.02,1.21,1.65,1.29
GT21,0,0,0.02,0
GT26,0,0.19,1.07,0.87
GT27,0,0,0.17,0
GT28,1.74,1.3,2.35,1.96
GT30,1.84,0.91,0.02,0.45
GT32,1.65,0,0,0
GT35,5.79,3.7,4.63,8.93
GT41,0.02,0,0.13,0
GT51,7.68,6.25,5.84,6.53
GT66,0.35,0.04,2.78,1.31
GT81,0.12,0.37,0.48,0.09
GT82,0.31,0,0,0.02
GT83,0.35,0.23,0,0.37
GT84,0,2.55,1.32,6.11
PL9,0,0,0.02,0.06
PL10,0,0.04,0,0
PL11,0,0,0.02,0
PL12,0,0.04,0,0
LDA1xp,0,0,0.02,0
LDA2xp,0,0,0,0.02
LDA6xp,0,0.01,0,0
LDA7xp,0,0.2,0,0
LO1xp,0,0,0,0
LO2xp,6.52,1.23,0.86,0.08
LO3xp,0.57,0.95,0.61,0.19
ESTxp,0,0.04,0,0
