,CG19u_454,CG8u_454,CG13u_454,PWCG7u_454
CE1,2.9,0,0,1.77
CE4,0,0,0,0.44
CE11,0,0,8.2,1.99
GH3,0,0,0,2.65
GH4,0,0,0,1.1
GH5,0,0,0,1.55
GH13,0,0,3.28,29.36
GH15,5.8,3.13,0,0
GH17,0,0,18.03,0
GH18,36.23,65,0,0
GH20,0,0,0,0.66
GH23,0,0,3.28,8.83
GH31,0,0,0,0.44
GH37,0,0,0,1.77
GH39,0,0,0,0.66
GH43,0,0,13.11,1.1
GH53,0,0,0,0
GH57,2.9,0.63,0,0
GH73,0,0,0,0.66
GH77,0,0,0,2.65
GH92,0,0,0,0.22
GH94,0,1.25,0,0
GH103,0,0,4.92,3.53
GH109,2.9,0,8.2,1.99
GT1,0,0,0,0.66
GT2,4.35,3.13,26.23,12.8
GT3,2.9,1.88,1.64,0
GT4,17.39,13.75,0,6.84
GT5,0,0,0,0
GT9,0,0,0,0.44
GT19,0,0,0,1.1
GT20,0,0,0,0.22
GT26,0,0,0,0.22
GT28,0,0,0,1.99
GT30,0,0,0,0.44
GT35,4.35,3.13,0,4.19
GT51,0,0,11.48,9.27
GT66,18.84,5.63,0,0.22
GT83,0,0,0,0
GT84,0,1.88,0,0
LDA1xp,1.45,0,0,0
LDA2xp,0,0.63,0,0
LDA6xp,0,0,0,0.22
LO1xp,0,0,0,0
LO2xp,0,0,1.64,0
